timestamp,open,high,low,close,volume
1751425200000,148.41,149.24,148.26,148.86,35636.852248
1751428800000,148.87,149.24,148.31,149.14,16129.23055
1751432400000,149.14,149.18,148.51,149.03,18996.088926
1751436000000,149.03,149.84,148.7,149.67,27267.289035
1751439600000,149.67,149.91,148.89,149.1,17332.327766
1751443200000,149.1,149.96,149.1,149.2,30690.169233
1751446800000,149.2,149.58,148.51,148.64,26821.510801
1751450400000,148.64,149.5,148.43,149.44,27480.712885
1751454000000,149.45,149.68,148.42,148.6,13455.056993
1751457600000,148.6,148.63,147.09,147.67,33805.104766
1751461200000,147.68,149.92,147.63,149.26,60391.29544
1751464800000,149.25,150.65,149.04,150.25,49772.863431
1751468400000,150.26,151.58,150,151.33,81934.955393
1751472000000,151.31,153.64,151.08,153.14,111251.679349
1751475600000,153.16,153.53,150.34,151.57,77273.271709
1751479200000,151.57,152.31,151.33,152.29,49061.674518
1751482800000,152.3,153.23,151.5,153.03,33746.506027
1751486400000,153.01,153.97,152.46,152.82,34996.86334
1751490000000,152.82,154,152.82,153.78,25062.359001
1751493600000,153.79,154.49,153.37,153.54,20500.693632
1751497200000,153.55,153.68,152,152.3,46016.99291
1751500800000,152.3,153.29,152,153.07,24977.362036
1751504400000,153.08,153.29,152.52,153.13,14251.800664
1751508000000,153.13,153.16,151.8,152.77,21963.762188
1751511600000,152.77,154.02,152.77,153.41,39541.519866
1751515200000,153.4,154.06,153.2,153.83,19317.239396
1751518800000,153.83,155.91,153.76,155.67,47512.802675
1751522400000,155.68,155.96,155.12,155.44,24661.642981
1751526000000,155.43,155.77,154.82,155.6,23311.354858
1751529600000,155.59,155.94,155.16,155.2,17616.463401
1751533200000,155.21,156.35,155.15,155.67,26305.338041
1751536800000,155.67,155.8,154.43,154.85,33052.179201
1751540400000,154.86,155.02,154.15,154.53,20514.807358
1751544000000,154.54,155.27,151.9,153.13,91625.707995
1751547600000,153.11,154.98,152.52,154.56,68382.370379
1751551200000,154.55,154.92,151.98,152.3,80516.891658
1751554800000,152.3,152.73,149.79,150.19,96297.304901
1751558400000,150.19,151.16,149.89,150.66,49212.142657
1751562000000,150.66,151.66,150.63,151.52,27209.079055
1751565600000,151.53,151.85,150.67,151.73,20294.029295
1751569200000,151.72,152.05,151.44,151.81,16913.084111
1751572800000,151.81,152.8,151.81,152.8,13942.162503
1751576400000,152.8,153.16,152.51,153.04,18438.985599
1751580000000,153.03,153.24,152.57,152.96,8218.3392
1751583600000,152.95,153.05,152.14,152.33,16971.7957
1751587200000,152.33,152.84,152.05,152.42,37278.793902
1751590800000,152.4,153.14,152.3,152.43,16452.21843
1751594400000,152.42,152.6,150.93,151.28,47591.670879
1751598000000,151.25,151.95,150.92,151.71,14287.926983
1751601600000,151.72,152.55,151.52,151.55,12363.988229
1751605200000,151.58,153.9,151.52,153.22,34689.345317
1751608800000,153.23,153.27,151.73,152.42,60889.779032
1751612400000,152.43,152.88,150.3,150.5,39328.395643
1751616000000,150.51,150.53,149,149.99,65902.437448
1751619600000,150,150.94,149.87,150.83,81305.349492
1751623200000,150.83,150.94,149.91,150.07,12174.132671
1751626800000,150.08,150.76,150.03,150.2,8866.572925
1751630400000,150.23,150.72,149.84,150.52,18940.24092
1751634000000,150.51,151.23,148.41,148.54,69441.005824
1751637600000,148.53,148.88,147.5,148.12,54324.990043
1751641200000,148.12,148.27,146.3,146.58,64967.946905
1751644800000,146.58,147.01,145.19,145.89,77910.646392
1751648400000,145.9,146.67,145.62,146.64,37367.305291
1751652000000,146.64,146.76,145.83,146.37,27646.434546
1751655600000,146.39,146.8,146.08,146.73,28102.099041
1751659200000,146.73,147.24,146.56,146.85,16032.161645
1751662800000,146.86,147.34,146.36,147.24,24221.494112
1751666400000,147.21,148.34,146.93,148.27,21978.398594
1751670000000,148.27,148.27,147.35,147.69,24479.223029
1751673600000,147.69,148.43,147.56,148.3,17405.274459
1751677200000,148.3,148.32,147.74,148.21,17261.960656
1751680800000,148.22,148.24,147.16,148.01,24231.893659
1751684400000,148.03,148.43,147.63,147.74,16558.580636
1751688000000,147.76,148.07,147.24,147.24,12483.13907
1751691600000,147.24,147.41,146.71,147.33,33391.967768
1751695200000,147.35,148.32,147.05,148.2,24681.486818
1751698800000,148.2,148.5,147.66,147.84,20040.581452
1751702400000,147.85,147.88,147.03,147.34,13853.537041
1751706000000,147.34,148.01,146.79,147.93,19033.584845
1751709600000,147.93,148.17,147.72,147.92,12375.081514
1751713200000,147.92,148.54,147.9,148.17,13508.591224
1751716800000,148.19,148.31,147.71,148.26,18104.38914
1751720400000,148.26,148.69,147.82,147.96,10926.104659
1751724000000,147.97,148.14,147.61,148.06,12601.985923
1751727600000,148.06,148.2,147.06,147.16,9850.572954
1751731200000,147.16,147.27,145.88,146.71,27465.148789
1751734800000,146.71,147.26,146.43,146.89,13162.057834
1751738400000,146.89,146.94,145.97,146.38,10948.568545
1751742000000,146.39,146.99,146.13,146.9,7967.767845
1751745600000,146.89,147.26,146.48,147.22,14404.585578
1751749200000,147.22,147.52,146.91,147.41,16845.904509
1751752800000,147.41,147.9,147.1,147.84,6577.929574
1751756400000,147.85,148.04,147.52,147.57,6643.632774
1751760000000,147.57,147.67,147.2,147.62,8323.504277
1751763600000,147.63,147.66,146.95,147.23,9069.774808
1751767200000,147.23,147.61,146.98,146.99,5697.899918
1751770800000,146.97,147.39,146.85,147.37,7395.217689
1751774400000,147.37,147.81,147.2,147.3,9956.954907
1751778000000,147.3,147.42,147.07,147.19,5353.574294
1751781600000,147.2,148.32,147.16,148.06,24024.804416
1751785200000,148.06,148.49,147.86,147.88,16570.876
1751788800000,147.89,148,147.23,147.55,16883.17626
1751792400000,147.55,147.7,146.81,146.84,13909.646215
1751796000000,146.85,147.65,146.75,147.33,17289.564413
1751799600000,147.33,148.03,147.11,147.97,8041.389383
1751803200000,147.97,148.98,147.82,148.98,13708.904668
1751806800000,148.98,152.1,148.37,151.34,83950.955495
1751810400000,151.36,152.04,150.68,151.56,52920.117524
1751814000000,151.6,151.87,150.83,151.53,23816.276941
1751817600000,151.54,153.27,151.22,153.15,71519.731124
1751821200000,153.13,153.21,152.28,152.5,68014.910926
1751824800000,152.51,152.59,151.01,151.41,15904.61696
1751828400000,151.41,151.77,150.7,151.3,10975.231548
1751832000000,151.3,151.98,151.25,151.47,6371.758925
1751835600000,151.48,153.9,151.48,152.24,43947.235252
1751839200000,152.25,153.46,152.25,152.47,22115.193572
1751842800000,152.47,152.54,151.46,151.86,22342.08246
1751846400000,151.87,151.97,150.84,151.14,16948.075923
1751850000000,151.14,151.41,150.26,151.26,19334.914579
1751853600000,151.26,152.77,151.24,152.04,26786.703931
1751857200000,152.04,152.9,151.79,151.89,16269.115249
1751860800000,151.89,152.16,151.77,151.78,9089.801193
1751864400000,151.78,152.13,151.56,151.92,16381.571149
1751868000000,151.92,151.99,151.03,151.19,18067.610137
1751871600000,151.2,152.5,150.88,152.37,15916.13098
1751875200000,152.37,152.94,152.22,152.65,22592.9637
1751878800000,152.65,152.66,152.05,152.18,12084.98104
1751882400000,152.17,152.49,151.66,152.26,11788.834378
1751886000000,152.27,153.63,152.13,152.79,27941.42208
1751889600000,152.79,152.87,151.42,151.71,28499.923005
1751893200000,151.71,153.42,151.21,153.07,39664.507493
1751896800000,153.03,153.37,151.58,151.68,34689.04878
1751900400000,151.68,152.38,151.02,151.1,35125.738758
1751904000000,151.09,151.57,149.67,150.35,55107.738934
1751907600000,150.35,150.87,149.64,149.99,56796.873674
1751911200000,149.99,150.34,149.04,150.11,71695.299571
1751914800000,150.12,150.65,148.65,148.96,126953.92383
1751918400000,148.94,148.95,147.78,148.37,43232.165256
1751922000000,148.38,148.81,147.78,148.6,23568.852176
1751925600000,148.61,148.65,147.7,148.48,12144.588771
1751929200000,148.48,148.92,148.43,148.91,13297.261029
1751932800000,148.91,150.09,148.76,149.15,37133.769568
1751936400000,149.15,149.32,148.62,148.73,15856.12949
1751940000000,148.73,149.29,147.86,147.99,28811.539764
1751943600000,147.98,148.99,147.93,148.66,10617.782322
1751947200000,148.66,149.08,148.22,149.04,9895.188109
1751950800000,149.04,149.37,148.6,149.25,9625.348699
1751954400000,149.23,149.62,149.07,149.27,12108.654989
1751958000000,149.26,149.76,148.85,149.64,16955.606432
1751961600000,149.65,150.27,149.53,149.92,22631.489485
1751965200000,149.91,150.59,149.71,150.21,32747.726901
1751968800000,150.2,151.35,150.2,151.13,50843.473729
1751972400000,151.14,151.69,151,151.31,45256.556111
1751976000000,151.32,152.5,151.3,152.43,62095.291457
1751979600000,152.42,152.89,151.52,152.03,53554.884725
1751983200000,152.01,152.08,150.53,150.84,37429.775434
1751986800000,150.82,151.14,149.8,149.87,26399.951101
1751990400000,149.88,150.59,149.42,150.54,36587.162751
1751994000000,150.55,152.25,150.46,152.07,40617.749609
1751997600000,152.06,152.84,151.72,152.81,22417.158944
1752001200000,152.81,152.82,151.35,151.64,35254.771078
1752004800000,151.65,151.7,150.01,150.01,24449.182904
1752008400000,150.02,150.92,149.95,150.81,23230.835943
1752012000000,150.84,151.58,150.53,151.58,11788.259251
1752015600000,151.57,151.93,151.28,151.67,12378.896497
1752019200000,151.68,151.74,151.09,151.72,14741.338425
1752022800000,151.71,152.39,151.15,151.49,39323.113044
1752026400000,151.49,152.22,151.38,151.82,33997.782924
1752030000000,151.83,152.23,151.21,151.32,47984.756827
1752033600000,151.31,151.49,150.55,151.19,23895.232017
1752037200000,151.19,153.9,151.17,153.15,102874.655698
1752040800000,153.15,153.47,152.37,152.9,44040.843208
1752044400000,152.9,153.35,152.61,153.01,34937.857654
1752048000000,153.02,153.16,152.34,152.51,36432.540262
1752051600000,152.52,153,152.34,152.89,36052.721936
1752055200000,152.89,153.25,152.6,153.17,32786.277263
1752058800000,153.18,154.47,153.07,153.74,60729.972534
1752062400000,153.74,154.67,153.35,154.06,82441.199609
1752066000000,154.06,154.88,153.62,153.76,76557.189868
1752069600000,153.76,155.55,152.88,153.77,99576.206868
1752073200000,153.77,154.56,153.38,153.99,46045.284538
1752076800000,154,155.04,153.71,154.89,27160.034517
1752080400000,154.88,154.93,153.24,153.64,28693.556817
1752084000000,153.63,155.28,153.56,154.65,56390.019884
1752087600000,154.66,157.85,154.58,157.29,89164.11863
1752091200000,157.29,157.55,155.47,156.02,110099.852399
1752094800000,156.02,157.6,156,156.74,37493.342827
1752098400000,156.75,157.99,156.75,157.69,34297.846689
1752102000000,157.67,157.94,157.01,157.07,21214.674515
1752105600000,157.07,157.54,155.96,155.97,46795.719107
1752109200000,155.97,157.9,155.97,157.63,64263.452982
1752112800000,157.64,159.36,157.63,158.32,93830.745456
1752116400000,158.31,158.38,157.24,157.39,48063.969738
1752120000000,157.38,157.71,156.91,157.71,36918.423224
1752123600000,157.71,157.81,156.95,157.27,34618.273496
1752127200000,157.27,157.51,156.69,157.44,23449.515252
1752130800000,157.44,158.67,157.38,157.93,68864.853504
1752134400000,157.93,159.19,157.84,158.93,57066.615818
1752138000000,158.94,159.1,157.98,158.1,36826.854294
1752141600000,158.1,158.17,157.4,157.93,31588.825783
1752145200000,157.92,157.92,157.21,157.68,31650.671545
1752148800000,157.68,157.68,157.04,157.49,49502.911527
1752152400000,157.49,158.39,156.75,157.07,77223.749646
1752156000000,157.08,157.72,156.24,156.86,40002.884219
1752159600000,156.87,157.03,155.61,156.45,46856.977585
1752163200000,156.45,158.74,156.16,158.39,95639.777945
1752166800000,158.39,161.25,157.94,160.92,108348.434583
1752170400000,160.91,161.03,158.34,159.08,62778.329905
1752174000000,159.07,159.68,158.69,159.32,31603.471226
1752177600000,159.3,160.53,159.21,160.4,34585.845023
1752181200000,160.39,164.53,160.3,163.86,264318.78806
