SQUEEZE_PERCENTILE,SQUEEZE_LOOKBACK,BREAKOUT_BARS,BREAKOUT_THRESHOLD,ATR_MULTIPLIER,TP_RATIO,RISK_PER_TRADE,total_return,win_rate,profit_factor,max_drawdown,total_trades,final_balance,score
20,20,2,0.003,2.0,4.0,0.02,21.97861105016444,28.125,1.4922525985420385,11.817780242515946,32,12197.861105016444,43.68
20,20,3,0.005,2.0,3.0,0.01,12.968772650015126,33.33333333333333,1.5017631990027769,5.139559703051528,39,11296.877265001513,43.65
20,20,3,0.003,2.0,3.0,0.01,12.96722839542188,33.33333333333333,1.5016767112665137,5.139794345723579,39,11296.722839542188,43.64
20,20,3,0.002,2.0,3.0,0.01,12.96722839542188,33.33333333333333,1.5016767112665137,5.139794345723579,39,11296.722839542188,43.64
15,20,3,0.005,1.5,5.0,0.02,24.584246550814402,22.916666666666664,1.3683846963291213,10.42041006944948,48,12458.42465508144,43.58
15,20,3,0.002,1.5,5.0,0.02,24.58424471327802,22.916666666666664,1.3683818909012828,10.42041006944948,48,12458.424471327802,43.58
20,20,2,0.003,2.0,2.0,0.02,13.760537995003705,38.88888888888889,1.2116784373800866,12.052171454907118,54,11376.05379950037,43.56
20,20,2,0.002,2.0,2.0,0.02,13.760537995003705,38.88888888888889,1.2116784373800866,12.052171454907118,54,11376.05379950037,43.56
15,20,1,0.005,1.5,5.0,0.02,24.67656026943887,22.5,1.4382409532803753,10.46274543763809,40,12467.656026943887,43.48
15,20,1,0.002,1.5,5.0,0.02,24.67656026943887,22.5,1.4382409532803753,10.46274543763809,40,12467.656026943887,43.48
15,20,1,0.003,1.5,5.0,0.02,24.67656026943887,22.5,1.4382409532803753,10.46274543763809,40,12467.656026943887,43.48
30,20,1,0.005,2.0,3.0,0.01,5.999312584023174,40.0,2.0008108625565066,3.6318081205835058,10,10599.931258402317,43.31
20,20,2,0.003,2.0,2.0,0.01,8.991416996601528,38.88888888888889,1.2746430058480531,6.751834018527491,54,10899.141699660153,43.24
20,20,2,0.002,2.0,2.0,0.01,8.991416996601528,38.88888888888889,1.2746430058480531,6.751834018527491,54,10899.141699660153,43.24
25,20,2,0.002,2.0,2.0,0.01,4.985457162372695,40.0,1.3332830606345054,2.93593083872149,25,10498.54571623727,43.11
15,20,3,0.003,1.5,5.0,0.02,23.305412251171965,22.916666666666664,1.3492234803111816,10.42041006944948,48,12330.541225117197,43.07
30,20,1,0.003,1.5,4.0,0.02,12.002257700219051,33.33333333333333,2.0024212034164486,6.6470493400885085,9,11200.225770021905,42.81
30,20,1,0.002,1.5,4.0,0.02,12.002257700219051,33.33333333333333,2.0024212034164486,6.6470493400885085,9,11200.225770021905,42.81
30,20,2,0.003,2.0,5.0,0.01,10.988908703412163,30.76923076923077,2.2225807424467248,2.9997558913369904,13,11098.890870341216,42.73
30,20,2,0.002,2.0,5.0,0.01,10.988908703412163,30.76923076923077,2.2225807424467248,2.9997558913369904,13,11098.890870341216,42.73
20,20,2,0.005,2.0,4.0,0.02,19.97385020285885,27.27272727272727,1.4284428767196435,11.817780242515946,33,11997.385020285885,42.63
20,20,2,0.005,2.0,2.0,0.01,7.991863060701634,38.18181818181819,1.2369564843267733,6.807942829819962,55,10799.186306070163,42.61
15,20,3,0.005,1.5,4.0,0.01,16.050298610546033,25.925925925925924,1.4069753241231486,5.571694386373924,54,11605.029861054603,42.53
15,20,3,0.003,1.5,4.0,0.01,16.049142509659507,25.925925925925924,1.4069945958067305,5.570861149624322,54,11604.91425096595,42.53
15,20,3,0.002,1.5,4.0,0.01,16.050404928128955,25.925925925925924,1.4069841695176797,5.5715888631330746,54,11605.040492812896,42.53
15,20,2,0.002,1.5,4.0,0.02,23.238073905715645,24.561403508771928,1.3047885200923932,13.859409482184478,57,12323.807390571565,42.51
15,20,2,0.005,1.5,4.0,0.02,23.238073905715645,24.561403508771928,1.3047885200923932,13.859409482184478,57,12323.807390571565,42.51
20,20,2,0.005,2.0,2.0,0.02,11.764728636128185,38.18181818181819,1.1756937111879258,12.233835953398032,55,11176.472863612818,42.49
15,20,1,0.003,1.5,4.0,0.01,16.04197894333156,27.27272727272727,1.507129090665942,7.2812572772268185,44,11604.197894333156,42.41
15,20,1,0.002,1.5,4.0,0.01,16.04197894333156,27.27272727272727,1.507129090665942,7.2812572772268185,44,11604.197894333156,42.41
15,20,1,0.005,1.5,4.0,0.01,16.04197894333156,27.27272727272727,1.507129090665942,7.2812572772268185,44,11604.197894333156,42.41
15,20,2,0.002,1.5,5.0,0.01,18.062417616807725,22.916666666666664,1.494701066344028,5.710921486346914,48,11806.241761680772,42.39
15,20,2,0.005,1.5,5.0,0.01,18.062417616807725,22.916666666666664,1.494701066344028,5.710921486346914,48,11806.241761680772,42.39
20,20,3,0.005,2.0,4.0,0.02,16.6170275068979,26.666666666666668,1.3900874257176667,7.736637363358405,30,11661.70275068979,42.33
15,20,3,0.003,1.5,5.0,0.01,18.03362485078609,22.916666666666664,1.4939299776715327,6.232375661419725,48,11803.36248507861,42.22
15,20,3,0.002,1.5,5.0,0.01,18.035058966648375,22.916666666666664,1.4939123895985567,6.233291151180319,48,11803.505896664838,42.22
15,20,3,0.005,1.5,5.0,0.01,18.0350481730271,22.916666666666664,1.4939139920556486,6.233243038613216,48,11803.50481730271,42.22
25,20,1,0.002,2.0,2.0,0.01,3.994186911357392,39.130434782608695,1.2859654817347188,3.878024000245397,23,10399.41869113574,42.17
